Model,Balanced Accuracy,Accuracy,K-Fold Mean Accuracy,Std.Deviation,ROC_AUC,Precision,Recall,F1 Score
GaussianNB,66.99835516442353,38.38762596672135,37.69610440524196,4.2599463051714475,0.6699835516442353,0.02668148971650917,0.9664429530201343,0.05192931842769564
DecisionTree,50.94007755940018,96.21513944223108,96.3850622151665,0.26219692891937507,0.5094007755940018,0.03225806451612903,0.040268456375838924,0.03582089552238806
XGBClassifier,50.0,98.25404265291773,98.25404467669105,0.014101615668981543,0.5,0.0,0.0,0.0
Logistic Regression,50.0,98.25404265291773,98.25404467669105,0.014101615668981543,0.5,0.0,0.0,0.0
SVC,50.0,98.25404265291773,98.25404467669105,0.014101615668981543,0.5,0.0,0.0,0.0
AdaBoostClassifier,50.0,98.25404265291773,98.25404467669105,0.014101615668981543,0.5,0.0,0.0,0.0
RandomForest,49.99403697078116,98.24232481837356,98.23353829417177,0.02624022868217113,0.4999403697078116,0.0,0.0,0.0
KNeigbors,49.96422182468694,98.18373564565267,98.21010022157604,0.024373197247162824,0.4996422182468694,0.0,0.0,0.0
